Dia ,Cambio 
12/05/2014,12.95340
13/05/2014,12.92340
14/05/2014,12.89930
15/05/2014,12.97550
16/05/2014,12.91930
19/05/2014,12.89440
20/05/2014,12.94250
21/05/2014,12.91320
22/05/2014,12.88010
23/05/2014,12.86560
26/05/2014,12.86160
27/05/2014,12.87720
28/05/2014,12.86600
29/05/2014,12.84620
30/05/2014,12.86090
02/06/2014,12.91080
03/06/2014,12.94470
04/06/2014,12.95270
05/06/2014,12.88680
06/06/2014,12.89810
09/06/2014,12.99120
10/06/2014,13.04860
11/06/2014,13.03060
12/06/2014,12.98150
13/06/2014,13.01640
16/06/2014,13.03230
17/06/2014,13.10070
18/06/2014,13.06720
19/06/2014,12.98850
20/06/2014,13.01240
23/06/2014,13.00560
24/06/2014,13.02180
25/06/2014,13.01740
26/06/2014,13.03230
27/06/2014,13.00020
30/06/2014,12.97120
01/07/2014,12.96050
02/07/2014,12.96730
03/07/2014,12.98290
04/07/2014,12.97680
07/07/2014,12.99490
08/07/2014,13.00060
09/07/2014,12.97800
10/07/2014,13.00150
11/07/2014,12.98500
14/07/2014,12.97550
15/07/2014,12.96110
16/07/2014,12.93900
17/07/2014,12.94540
18/07/2014,12.95880
21/07/2014,12.97510
22/07/2014,12.93930
23/07/2014,12.92860
24/07/2014,12.95720
25/07/2014,12.94450
28/07/2014,12.98780
29/07/2014,13.05780
30/07/2014,13.13570
31/07/2014,13.22690
01/08/2014,13.19320
04/08/2014,13.19620
05/08/2014,13.27160
06/08/2014,13.25800
07/08/2014,13.25510
08/08/2014,13.23600
